model,model_2,brand,product,product_parent,product_lang,file_urls,type,url,thumb,source,brand_category
GR484DG,,Wolf,"48"" Gas Range - 4 Burners and Infrared Dual Griddle",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/granges-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/gas-range/48-inch-gas-range-4-burners-infrared-dual-griddle,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/gr484dg/dynamic_gr484dg.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
DW2450WS,,Cove,"24"" Dishwasher with Water Softener - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/cove/cv_dw_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/cove/dishwashers/24-inch-dishwasher-water-softener-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/dw2450ws/dw2450ws.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",cove
DW2450,,Cove,"24"" Dishwasher - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/cove/cv_dw_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/cove/dishwashers/24-inch-dishwasher-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/dw2450/dw2450.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",cove
IR30450/S/P,,Wolf,"30"" Professional Induction Range",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/induction_range_uc.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/induction-range/30-inch-professional-induction-range,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/ir30450-s-p/ir30450-s-.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
GR606DG,,Wolf,"60"" Gas Range - 6 Burners and Infrared Dual Griddle",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/granges-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/gas-range/60-inch-gas-range-6-burners-infrared-dual-griddle,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/gr606dg/dynamic_gr606dg.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
IR36550/S/P,,Wolf,"36"" Professional Induction Range",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/induction_range_uc.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/induction-range/36-inch-professional-induction-range,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/ir36550-s-p/ir36550-s-.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
IR36550/S/T,,Wolf,"36"" Transitional Induction Range",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/induction_range_uc.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/induction-range/36-inch-transitional-induction-range,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/ir36550-s-t/ir36550-s-.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
PRO4850,,Sub-Zero,"48"" PRO Refrigerator/Freezer",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/pro-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/full-size-refrigeration/refrigeration/pro4850,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/pro4850/pro4850.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
PRO3650G,,Sub-Zero,"36"" PRO Refrigerator/Freezer with Glass Door",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/pro-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/full-size-refrigeration/refrigeration/pro3650g,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/pro3650g/pro3650g.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
GR366,,Wolf,"36"" Gas Range - 6 Burners",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/granges-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/gas-range/36-inch-gas-range-6-burners,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/gr366/dynamic_gr366.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
